input_chunk_length,output_chunk_length,hidden_size,MAPE
52,11,189,0.6041464295678665
13,24,241,0.8388853515110111
93,4,193,0.5262048794295454
58,14,456,0.5758662541428989
60,1,193,0.6405880534458454
37,5,391,0.7082359936418996
96,24,388,0.8799736870085617
84,3,174,0.3819426037624651
92,3,192,0.571273984766488
84,3,193,0.9080152847668622
11,6,31,0.2450433010812271
84,3,174,0.3819426037624651
85,3,177,0.8790177732106289
96,21,314,0.9023319500131155
96,11,512,0.5834773318186902
11,6,31,0.2450433010812271
83,9,172,0.7115184353465649
11,2,31,0.2933156713748912
96,20,412,0.9989978940794008
62,9,322,0.528842663694874
11,6,31,0.2450433010812271
11,4,31,0.20905126143303585
11,4,31,0.20905126143303585
11,5,31,0.42645484783046367
28,7,128,0.2967863866688838
14,6,39,0.39394728400056134
11,4,31,0.20905126143303585
11,3,31,0.26336357170857144
11,5,31,0.42645484783046367
38,11,155,0.2871192038112574
11,5,31,0.42645484783046367
11,4,31,0.20905126143303585
11,3,31,0.26336357170857144
11,4,31,0.20905126143303585
71,20,303,0.6158597406778902
11,6,31,0.2450433010812271
11,3,31,0.26336357170857144
15,5,43,0.2158279617034207
11,4,31,0.20905126143303585
11,2,31,0.2933156713748912
11,4,31,0.20905126143303585
11,2,31,0.2933156713748912
11,4,31,0.20905126143303585
11,4,31,0.20905126143303585
11,2,31,0.2933156713748912
11,4,31,0.20905126143303585
13,4,36,0.3198003945081348
11,4,31,0.20905126143303585
11,5,31,0.42645484783046367
11,4,31,0.20905126143303585
11,4,31,0.20905126143303585
11,4,31,0.20905126143303585
11,4,31,0.20905126143303585
11,4,31,0.20905126143303585
11,4,31,0.20905126143303585
